日期_Date,市场溢酬因子__流通市值加权_Rmrf_tmv,市值因子__流通市值加权_Smb_tmv,账面市值比因子__流通市值加权_Hml_tmv
2018/6/15,-0.0096,-0.0125,0.0093
2018/6/19,-0.0451,-0.0245,0.0099
2018/6/20,0.0055,0,-0.0046
2018/6/21,-0.0155,-0.0122,0.0109
2018/6/22,0.0078,0.0049,-0.0042
2018/6/25,-0.0101,0.0038,-0.0037
2018/6/26,-0.0028,0.0105,-0.0104
2018/6/27,-0.0131,0.0107,0.0075
2018/6/28,-0.0101,0.0005,0.0066
2018/6/29,0.0266,0.0008,-0.0118
2018/7/2,-0.0238,0.0113,-0.0081
2018/7/3,0.0047,0.0152,0.0006
2018/7/4,-0.0127,-0.0043,0.0066
2018/7/5,-0.0132,-0.0107,0.0029
2018/7/6,0.0049,0.0016,-0.004
2018/7/9,0.0267,-0.0068,-0.0057
2018/7/10,0.0052,-0.0003,0.0014
2018/7/11,-0.019,-0.0084,-0.0021
2018/7/12,0.0241,0.0018,-0.0075
2018/7/13,0.0032,-0.0036,-0.0078
2018/7/16,-0.0041,0.0008,-0.0038
2018/7/17,-0.0039,0.0106,-0.0021
2018/7/18,-0.0048,0.0028,0.0035
2018/7/19,-0.0057,-0.008,0.0036
2018/7/20,0.018,0.0004,0.0051
2018/7/23,0.0096,-0.0004,0.0129
2018/7/24,0.016,-0.0016,0.0066
2018/7/25,0.0001,0.0043,-0.0031
2018/7/26,-0.0077,0.0174,0.0034
2018/7/27,-0.0038,-0.0028,0.0021
2018/7/30,-0.0059,-0.009,0.0123
2018/7/31,0.002,0.0018,0.0034
2018/8/1,-0.0185,0.0034,-0.0021
2018/8/2,-0.0217,-0.0075,0.0058
2018/8/3,-0.0127,0.0092,0.0104
2018/8/6,-0.015,0.0021,0.0104
2018/8/7,0.0285,-0.0051,0.0039
2018/8/8,-0.0143,0.0048,0.0093
2018/8/9,0.0218,-0.0041,-0.011
2018/8/10,0.0023,0.0005,-0.0061
2018/8/13,-0.0016,-0.0012,-0.0055
2018/8/14,-0.003,0.0046,0.0029
2018/8/15,-0.0215,0.0059,0.0054
2018/8/16,-0.0077,0.0003,0.0002
2018/8/17,-0.0145,-0.0018,0.0077
2018/8/20,0.0096,-0.0036,0.0041
2018/8/21,0.0139,-0.0054,-0.0095
2018/8/22,-0.0083,-0.0005,0.0025
2018/8/23,0.0041,0.0021,-0.0038
2018/8/24,0.0009,-0.0005,0.0033
2018/8/27,0.0219,-0.0079,-0.0081
2018/8/28,-0.0008,0.0015,-0.0001
2018/8/29,-0.0042,0.0006,0.0006
2018/8/30,-0.0128,-0.0038,0.0043
2018/8/31,-0.0061,-0.0002,0.0075
2018/9/3,-0.0016,0.0003,-0.0009
2018/9/4,0.0111,0.0011,-0.0023
2018/9/5,-0.0171,0.0045,-0.0001
2018/9/6,-0.0068,0.0048,0.0042
2018/9/7,0.0033,0.0007,0.0019
2018/9/10,-0.0146,-0.0024,0.0082
2018/9/11,-0.001,0.0049,-0.0053
2018/9/12,-0.0043,0.0076,0.0072
2018/9/13,0.0105,0.0008,0.0054
2018/9/14,-0.0029,-0.0074,0.0052
2018/9/17,-0.0124,-0.0017,0.0022
2018/9/18,0.0181,-0.0015,-0.0011
2018/9/19,0.0127,-0.0045,-0.0013
2018/9/20,-0.0009,0.0013,-0.0013
2018/9/21,0.0242,-0.0118,-0.0026
2018/9/25,-0.0061,0.0003,0.0012
2018/9/26,0.0089,-0.0074,-0.0043
2018/9/27,-0.0071,-0.012,0.0058
2018/9/28,0.0098,-0.0006,0.0002
2018/10/8,-0.0388,0.0103,0.0081
2018/10/9,0.0009,0.0034,0.0049
2018/10/10,0.0001,0.0042,0.0068
2018/10/11,-0.0564,-0.0191,0.0008
2018/10/12,0.0076,-0.0206,0.0015
2018/10/15,-0.0151,0.0034,-0.0035
2018/10/16,-0.0118,-0.0012,0.0045
2018/10/17,0.0067,0.0026,0.0036
2018/10/18,-0.0294,-0.0018,-0.0027
2018/10/19,0.0264,-0.0081,-0.004
2018/10/22,0.044,0.002,-0.0109
2018/10/23,-0.0229,0.0145,0.002
2018/10/24,0.0012,0.01,0.0038
2018/10/25,-0.0011,0.0002,0.0086
2018/10/26,-0.0017,0.0086,0.0102
2018/10/29,-0.0227,0.0118,0.0153
2018/10/30,0.0094,0.0071,0.0019
2018/10/31,0.014,-0.0048,-0.0095
2018/11/1,0.004,-0.0032,-0.0106
2018/11/2,0.0303,-0.0107,-0.0163
2018/11/5,-0.0032,0.0145,-0.0007
2018/11/6,-0.003,0.0024,0.0048
2018/11/7,-0.0057,0.0036,-0.0053
2018/11/8,-0.0026,0.0089,-0.0008
2018/11/9,-0.0113,0.0067,-0.003
2018/11/12,0.0163,0.013,-0.0029
2018/11/13,0.0121,0.012,-0.0052
2018/11/14,-0.0077,0.0077,-0.0005
2018/11/15,0.0129,0.0055,0
2018/11/16,0.0056,0.0075,0.0005
2018/11/19,0.0082,-0.0007,0.003
2018/11/20,-0.0234,-0.0044,0.0019
2018/11/21,0.0033,0.0084,-0.0042
2018/11/22,-0.0016,0.0027,-0.0007
2018/11/23,-0.0284,-0.0169,0.0047
2018/11/26,-0.0017,0.0041,0.001
2018/11/27,0.0009,0.0079,-0.0017
2018/11/28,0.0115,-0.0021,-0.0016
2018/11/29,-0.0156,-0.0102,0.0021
2018/11/30,0.0086,-0.0048,-0.0026
2018/12/3,0.028,0.0006,-0.0107
2018/12/4,0.004,0.0079,-0.0015
2018/12/5,-0.0054,-0.0061,-0.002
2018/12/6,-0.0189,0.0047,0.0053
2018/12/7,0.0001,0.0003,0.0048
2018/12/10,-0.0101,-0.0037,0.002
2018/12/11,0.0052,0.0028,-0.0046
2018/12/12,0.0022,-0.0028,0.0009
2018/12/13,0.012,-0.0071,0.0005
2018/12/14,-0.0185,-0.009,0.0044
2018/12/17,-0.0003,0.004,0.0048
2018/12/18,-0.0085,0.0019,-0.0033
2018/12/19,-0.0117,0.0016,0.004
2018/12/20,-0.0032,0.0086,-0.003
2018/12/21,-0.0093,0.0018,0.0036
2018/12/24,0.0056,-0.0009,-0.0044
2018/12/25,-0.0088,-0.0036,-0.0055
2018/12/26,-0.003,0.0049,0.003
2018/12/27,-0.008,-0.0097,0.0027
2018/12/28,0.0039,-0.0031,-0.0009
2019/1/2,-0.0108,0.0128,-0.0007
2019/1/3,-0.0028,0.0037,0.0102
2019/1/4,0.0226,0.0043,-0.0034
2019/1/7,0.0107,0.0091,-0.0042
2019/1/8,-0.0021,0.0023,0.0015
2019/1/9,0.0068,-0.0037,-0.0038
2019/1/10,-0.0031,0.0026,-0.0025
2019/1/11,0.0071,0.0013,0.0002
2019/1/14,-0.0071,0.0041,0.0054
2019/1/15,0.0144,-0.0065,-0.0105
2019/1/16,-0.0003,-0.0032,0.0001
2019/1/17,-0.0059,-0.0039,0.0027
2019/1/18,0.0132,-0.0118,-0.0016
2019/1/21,0.0058,-0.0003,-0.0008
2019/1/22,-0.0122,0.0051,0.0016
2019/1/23,0.0006,0.0033,-0.0001
2019/1/24,0.0045,0,-0.0027
2019/1/25,0.0025,-0.0101,0.0034
2019/1/28,-0.0023,-0.0093,0.0018
2019/1/29,-0.004,-0.0201,0.0055
2019/1/30,-0.0093,-0.0089,0.0058
2019/1/31,0.0013,-0.0199,0.0025
2019/2/1,0.0172,0.0057,-0.0099
